date,festival,region
2019-03-21,Holi,National
2019-08-15,Raksha Bandhan,National
2019-09-02,Ganesh Chaturthi,West
2019-09-29,Navratri Start,National
2019-10-08,Dussehra,National
2019-10-27,Diwali,National
2019-12-25,Christmas,National
2020-01-15,Pongal,South
2020-01-26,Republic Day,National
2020-03-10,Holi,National
2020-03-25,Ugadi,South
2020-05-24,Eid al-Fitr,National
2020-07-31,Eid al-Adha,National
2020-08-03,Raksha Bandhan,National
2020-08-22,Ganesh Chaturthi,West
2020-08-31,Onam,South
2020-10-17,Navratri Start,National
2020-10-25,Dussehra,National
2020-11-14,Diwali,National
2020-12-25,Christmas,National
2021-01-14,Pongal,South
2021-01-15,Makar Sankranti,North
2021-03-29,Holi,National
2021-04-13,Ugadi,South
2021-05-13,Eid al-Fitr,National
2021-07-20,Eid al-Adha,National
2021-08-22,Raksha Bandhan,National
2021-08-21,Onam,South
2021-09-10,Ganesh Chaturthi,West
2021-10-07,Navratri Start,National
2021-10-15,Dussehra,National
2021-11-04,Diwali,National
2021-12-25,Christmas,National
2022-01-14,Makar Sankranti,North
2022-01-15,Pongal,South
2022-04-02,Ugadi,South
2022-03-18,Holi,National
2022-05-03,Eid al-Fitr,National
2022-07-10,Eid al-Adha,National
2022-08-11,Raksha Bandhan,National
2022-08-31,Ganesh Chaturthi,West
2022-09-04,Onam,South
2022-09-26,Navratri Start,National
2022-10-05,Dussehra,National
2022-10-24,Diwali,National
2022-12-25,Christmas,National
2023-01-14,Makar Sankranti,North
2023-01-15,Pongal,South
2023-03-08,Holi,National
2023-03-22,Ugadi,South
2023-04-22,Eid al-Fitr,National
2023-06-29,Eid al-Adha,National
2023-08-30,Raksha Bandhan,National
2023-08-29,Onam,South
2023-09-19,Ganesh Chaturthi,West
2023-10-15,Navratri Start,National
2023-10-24,Dussehra,National
2023-11-12,Diwali,National
2023-12-25,Christmas,National
2024-01-14,Makar Sankranti,North
2024-01-15,Pongal,South
2024-03-25,Holi,National
2024-04-09,Ugadi,South
2024-04-11,Eid al-Fitr,National
2024-06-17,Eid al-Adha,National
2024-08-19,Raksha Bandhan,National
2024-09-07,Ganesh Chaturthi,West
2024-09-15,Onam,South
2024-10-03,Navratri Start,National
2024-10-12,Dussehra,National
2024-11-01,Diwali,National
2024-12-25,Christmas,National
2025-01-14,Pongal,South
2025-01-14,Makar Sankranti,North
2025-03-14,Holi,National
2025-03-30,Ugadi,South
2025-03-31,Eid al-Fitr,National
2025-06-07,Eid al-Adha,National
2025-08-09,Raksha Bandhan,National
2025-08-27,Ganesh Chaturthi,West
2025-09-05,Onam,South
2025-09-22,Navratri Start,National
2025-10-02,Dussehra,National
2025-10-20,Diwali,National
2025-12-25,Christmas,National
2026-01-14,Pongal,South
2026-01-14,Makar Sankranti,North
2026-03-04,Holi,National
2026-03-20,Ugadi,South
2026-03-20,Eid al-Fitr,National
2026-05-28,Eid al-Adha,National
2026-08-28,Raksha Bandhan,National
2026-08-17,Ganesh Chaturthi,West
2026-08-25,Onam,South
2026-09-12,Navratri Start,National
2026-09-21,Dussehra,National
2026-11-08,Diwali,National
2026-12-25,Christmas,National
